Description,ASIN,Manufacturer,Product Info
"['Made of multi-coated 600D polyester Material ; Water Repellent', 'Dimension: 38cm x 26cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters', 'Small Size backpack; Laptop Compatibility: No', 'This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more', 'With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books', '6 months limited warranty']",B088XG77KN,"Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka",[]
"['Made of multi-coated 600D polyester Material ; Water Repellent', 'Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters', 'Small Size backpack; Laptop Compatibility: No', 'This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more', 'With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books', '6 months limited warranty']",B088XB5XY8,"Korrun India Pvt. Ltd, Plot No.25, P2(4&X), 1st Phase, Bidadi Industrial area, Bangalore-562109, Karnataka",[]
"['Outer Material: PU / Synthetic Leather', 'Closure: Magnetic', 'Pockets: 1, Compartments: 1', 'Height Adjustable Sling belt', 'Dimensions: LxWxH - 7.25 x 2.1 x 6 inches']",SL5099-CRM,,"Box sling bag made with high quality PU with fancy show fitting on the front. The sling belt is a full length PU belt which is height adjustable. Inside it has 1 main compartment for convenience of storing your essentials with ease and without any hassle. This is a new and fresh design which is trending in the current fashion season. A classy and stylish sling perfect for parties and clubbing, or for casual daily use."
,LT9 (0) 09 002,,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self"
,FUNBPKMBLWZ101023,,"[{'Product': 'Mobile Charging Port', 'Additional Info': 'The Slope Anti-Theft backpack has a built-in USB Port that offers a hands-free convenient charging of your electronic devices. It offers a pocket to keep your power bank as well.'}, {'Product': 'Water Repellent Fabric', 'Additional Info': 'All our Arctic Fox bags are fabricated with water repellent fabrics. The Slope Anti-Theft backpack has a 24-litre capacity and is constructed with 400D Twill Polyester PU coated fabric.'}, {'Product': 'Laptop Sleeve and Tablet Sleeve', 'Additional Info': 'A padded sleeve with a 15-inch laptop compatibility that can be used according to your needs on different occasions.'}, {'Product': 'Water Bottle pouch', 'Additional Info': 'Our Slop Anti-Theft backpack has a water-holding pouch on the side of the bag that is adequate to hold any standard water bottle.'}, {'Product': 'Anti-Theft Compartment, Smart Organizer, and Zipper', 'Additional Info': 'The backpack is equipped with a spacious anti-theft single compartment that protects your valuables from external forces. It enables the users to pack more efficiently using the smart organizers like the zipper pocket, the mesh zipper pocket, the two flat pockets, the small mesh pocket, and the two pen loops. The backpack is secured with imported SBS branded zippers.'}, {'Product': 'Bottom Abrasion Fabric', 'Additional Info': 'The bottom of the Slope Anti-Theft backpack is built from abrasion-resistant material, giving the liberty of keeping the bag on any surfaces without any worries.'}]"
,BM83,,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."
,Daypack,,Wesley Daypack
,Laptop backpack,,[]
"['28 Litres, with 2 Spacious compartment and 2 pockets, practical design to deliver efficiency for the professional on the go.', '15 inch laptop compatible. Separate your office space and your personal space with separate compartments. This helps the Office Executive make the quick weekend trip, all with one backpack.', 'Easy Access pockets for your convenience to keep last minute things while travelling', 'Elaborate Organiser pocket, Chest Strap Lock & Anti-Theft Feature, ideal for the Urban Commuter.', 'Thoughtful reflector straps adds to your safety during evening & night times, by increasing the visibility of the bag']",B01M6WLGH0,,[]
"['100% OXO-BIODEGRADABLE: The materials used to make these bags are 100% eco-friendly. They are oxo-biodegradable which means that they break down in the open environment like nature’s wastes but quicker and without leaving any toxic residues or plastic fragments behind.', 'TEAR-RESISTANT: Sirona’s ‘I Love Clean’ Disposable Sanitary Bags are made using extra-durable plastic. It has thick double seams to hold your waste in- without ending up with rips and tears.', 'SUPER-SEALED: The Sirona Sanitary Disposal Bags come with built-in glue which seals perfectly. The leak-proof design keeps the bacteria and wetness where it belongs making your surroundings safe and hygienic.', 'MULTIPURPOSE: These oxo-biodegradable bags from Sirona are large enough for the hygienic and sanitary disposal of used feminine hygiene items, baby diapers, adult diapers, wet wipes and the disposable PeeBuddy.', 'ODOUR-LOCK: Lock the smells of your waste in- just stick and seal to cancel out any unpleasant odours that have the possibility of emanating from these disposable bags. This is perfect for when you are travelling and can’t bin the waste.']",B01NAZVN8M,567 Grams,"[{'Product': 'Ideal For', 'Additional Info': 'I love clean by Sirona are cute disposable sanitary bags and are best for hygienic disposal of intimate care products (Sanitary pads, tampons, panty liners, baby diapers, condoms, peebuddy) or general products (Which need discreet disposal). No more black plastic bags, no more newspaper. Now use I love clean.'}, {'Product': 'Easy to Carry', 'Additional Info': 'The I love clean boxes have been designed to fit conveniently in purse for quick & easy handling. These easy to carry boxes are perfect for travel, daily commute to work etc.'}, {'Product': 'Oxo-Degradable/Environmental Friendly', 'Additional Info': 'Dispose waste the environmental -friendly way now. The I love clean disposal bags by Sirona are made of oxo-biodegradable plastic which degrades abiotically at the end of its useful life in the presence of oxygen much more quickly than ordinary plastic. At the end of that process, it does not therefore leave fragments of plastic in the environment.'}, {'Product': 'Tamper Proof Bags with No Leakage', 'Additional Info': 'The I love clean disposal bags are strong, tamper proof and tear-resistant. With built in glue, these sanitary bags seal perfectly with no leakage. Just press & paste the flap properly for the adhesive to work.'}]"
"['Laptop backpack made from water-resistant, strong and durable polyester', 'Slim, contoured, lightweight design with quick-access compartments that ensures protection and comfort', 'Contains two large compartments, two easy-access front pockets, two side pockets, and two water-bottle pockets', 'Well-cushioned polyester pocket that stores up to 15.6-inch laptop', 'Cushioned shoulder strap for added comfort and well-padded back to provide support', 'Dimensions: 43 x 30 x 16 cm (L x W x H)', 'Weight: 0.76 gms']",B09W4ZPP3D,"FLAB INTERNATIONAL PRIVATE LIMITED, FLAB INTERNATIONAL PRIVATE LIMITED ,PLOT NO. 357 E, PACE CITY-2, SEC-37, GURGAON - 122001 (HARYANA) INDIA",[]
"['Carry this spacious, convenient backpack from Amazon Basics to college or work.', 'Laptop compartment: It features a dedicated compartment that can easily fit a laptop up to 15.6 inches.', 'Other storage: It also contains a spacious compartment and a quick-access front pocket.', 'Durable build: It Is made from fabric with a polyester lining. Both feature PU coating.', 'Dimensions: 45.5 x 34 x 13 cm', 'Capacity: 20 l', 'Colour: Dual grey']",B0C8NSJ4RD,"Outshiny India Pvt. Ltd., Outshiny India Pvt. Ltd. No.17, Ganesh Nagar, 8th B Cross Narayanappa Layout, Kodigehalli Bengaluru - 560097..","Use this spacious, convenient backpack from Amazon Basics for college or work. It features a 15.6-inch laptop compartment, a spacious compartment and a quick-access front pocket. It Is made from fabric with a polyester lining, both with PU coating. Get this high-quality product at a great price from Amazon Basics."
"['Care Instructions: Hand Wash Only', 'Fit Type: regular', 'Well Organized compartment ,Security Back Pocket']",LT9 (0) 01 002,,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self"
,444--,,"A Sporty Versatile School Laptop Collage Office Backpack From ROZEN Made Of Polyester. It Has a 3 opening Compartment & 2 For quick & easy access to essential While the mesh padding on the back panel will feel comfortable, even on a hot day. Stylish And Durable Backpack For Office School /College And Travel. Easily Accommodate A Laptop. Size: 46 Cm X 33 Cm X 25 Cm."
,India,,"Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs"
,Nexa-3-Grn,,"[{'Product': 'Made with superior quality', 'Additional Info': 'This backpack is crafted with superior quality anti-scratch polyester material & featuring a reinforced bottom to withstand heavy use, perfect for business, travel, school, college and other outdoor activities. It shows your outstanding temperament.'}, {'Product': 'Compact Design', 'Additional Info': 'This backpack has a three roomy compartment, front durable metal zipper & side mesh pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella.'}, {'Product': 'Ideal For Every Place', 'Additional Info': 'The soft Zipline backpack is classic and vintage to give you modern look and feel. It comes with heavily padded shoulder straps and back panel to make the backpack comfortable to wear even when loaded with all your gear.'}]"
"['Care Instructions: Machine Wash', 'COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.', 'Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men? and women?', 'Compact and lightweight travel backpack', 'laptop backpack with 3 compartments.', 'Light weight and spacious']",GP-BLACK,,[]
"['Curated specially for Bag with High Functionality. Premium Design crafted with Trendy Look', 'Separate Sturdy Padded compartment for your Laptop. Spacious 35L capacity with 46 x 22 x 36 cm', 'high quality YKK Zip', 'Air mesh for ventilation', 'Light weight Bag with padded shoulder strap for ease']",Defender_Black,,[]
"['Care Instructions: Hand Wash Only', '1)Super spacious - 40 litre space 2)3 Spacious Compartments 3)Quick access front pocket 4)Organizer 5) Premium and Durable Fabric 6)Rain Cover 7) Coin Pocket 8)Padded Grab Handle']",BPHISPAETBL,,"Stylish, affordable and spacious compartmentS. Super spacious - 40 litre space 3 Spacious Compartments Quick access front pocket Organizer Premium and Durable Fabric Rain Cover Coin Pocket Padded Grab Handle"
,DINY01,,"If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily."
"['Designed for laptops up to 16 inches | Slim and sleek with a capacity of 11.5L', 'Premium black color exterior in PU leather material | Soft interior lining in grey color for easier visibility of items', 'Dedicated laptop compartment, additional front pocket for accessories and smaller items', 'Comfortable, padded back panel | Padded shoulder straps for optimal comfort and ergonomic support', 'Quality metal zippers and pullers for main compartment and secondary front pocket']",B09QCYXZ1H,"Lenovo, Out shiny India Private Limited, Maruthi Mandira Arisina Kunta Bangalore Next to Holiday Plam Hotel India Pondy 2, Nelamang, Bangalore - 562123","The Lenovo Value Lite 16-inch Backpack (India) offers a contemporary yet professional design and all the features you need at a value price. Composed of classic black PU leather material and quality metal hardware, this backpack's beautiful design aesthetic is not all it delivers. Along with the pure benefit of a hands-free bag, you will also enjoy the convenience of the most fundamental features such as ergonomic shoulder straps, front accessories zip pocket and larger main compartment with padded slot for laptops up to 16""."
"['Lavie Odiase hand bag is perfect for the ladies on the go. It is durable, lightweight, and available in multiple trendy colors. Made from premium man-made leather, this hand bag has the latest pebble texture and gold detailing to help you stand out from the crowd.', 'Odiase hand bag has a top zip closure to keep your essentials in place. The bag has 2 main compartments, 2 slip pockets alongside 1 zip pocket in each compartment, providing plenty space for keeping phone, portable charger, keys, hairbrush, wallet, sunglasses, sanitizer etc. It has thin dual shoulder straps and an adjustable sling belt for multipurpose use.', 'This hand bag is perfect for women to carry to work or a day party. It can be paired with high waist jeans and a statement top as well as with a ruffled dress. This spacious bag makes a great gift for women who love to accessorize.', ""Made from high-quality, soft materials, this handbag features a well-stitched inner lining for easy accessibility and storage. Plus, with its clean and trendy design, it's perfect for everyday use"", 'Dimension: 22 cm in length x 10 cm in width x 12 cm in height']",HGGE626019M3,,"Functional, cute, and trendy this handbag from Lavie will carry all your essentials from morning until night. This medium-size bag can be paired with a loose T-shirt and a pair of denims for a casual look."
"['Superior & Durability Made of durable and water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different', 'Multiple Compartments The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease', 'USB Charging Port External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices', 'The backpack has a front zipper pocket for the ID card, Sanitizer,masks, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band', 'Age Range Description: Adult; Style Name:cooper']",India,,"[{'Product': 'USB Charging Port', 'Additional Info': 'A USB charging connector is available on the laptop backpack, which is perfect for charging your phone or other electronic devices when in need.'}, {'Product': 'Multi-Level Organizer', 'Additional Info': 'The backpack has a front zipper pocket for the ID card, Sanitizer,masks, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band'}, {'Product': 'Trolley Strap & Anti-theft Back Pocket', 'Additional Info': 'The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support. Back hidden anti theft pocket can hold your wallet, phone etc.'}, {'Product': 'Spacious Compartments', 'Additional Info': 'This bag features a dedicated laptop pocket for a 15.6-inch laptop and a large area with sufficient space for your clothes etc. and side pockets for an umbrella and water bottle.'}, {'Product': 'Anti-theft System', 'Additional Info': ""Your valuable belongings will be protected from theft by the bag's well-managed anti-theft system which comprises hidden zippers and pockets.""}, {'Product': 'Easy to carry', 'Additional Info': 'Puffed handles & back to assist you with comfort.'}, {'Product': 'Premium Material', 'Additional Info': 'This multifunctional bag is made of high quality Water Repellent polyester material. For the inner lining, soft feel premium quality polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, of premium quality and durable.'}]"
"['Care Instructions: Hand Wash Only', 'Compact and lightweight travel backpack can be easily placed under the airline seat.<br>; Slim laptop backpack with spacious room to keep everything organized and easy to find; Padded back and straps make the business backpack comfortable to wear.<br><br>', 'Bag size is 42X30X12 CM. and maximum length of laptop can fit is15 inch .<br>; Pocket Description: Utility Pocket; Age Range Description: Kid; Closure Type: Zipper; Pattern Name: Solid<br><br>', 'Pattern Name: Solid; Age Range Description: Kid; Closure Type: Zipper; Pocket Description: Utility Pocket<br>', 'Compartment Description: Up To 15 Inches; Special Features: Zip Closure; Material Type: Polyester<br>']",Laptop Backpack,,[]
,HK007,,"[{'Product': 'SHOE COMPARTMENT', 'Additional Info': 'This backpack has a separate shoe compartment that is big enough to easily accommodate a pair of shoes. It can also be used to keep your travel laundry separate from your fresh clothes'}, {'Product': 'SIZE ADJUSTABLE STRAP', 'Additional Info': 'These shoulder straps are fully adjustable allowing you to easily achieve a comfortable fit. The shoulder straps are padded that provide extra support.'}, {'Product': 'YKK ZIPPERS', 'Additional Info': 'Zipper plays an important role in whole rucksack as no one want to have the zipper which stuck in middle. Our rucksack has premium quality YKK zipper which runs smoothly and makes load and unloading quick and easy.'}]"
"['Care Instructions: Hand Wash Only', 'Fit Type: overall', 'Ease of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.', 'Anti - Theft Pocket-Hidden storage pocket for important documents like passports, tickets, cash while on the go.', 'Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included )', 'Care Instructions: Wipe with Dry Cloth', 'Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.']",India,,"[{'Product': 'USB Charging Port', 'Additional Info': 'A USB charging connector is available on the laptop backpack, which is perfect for charging your phone or other electronic devices when in need.'}, {'Product': 'Anti-theft System', 'Additional Info': ""Your valuable belongings will be protected from theft by the bag's well-managed anti-theft system which comprises hidden zippers and pockets.""}, {'Product': 'Trolley Strap & Anti-theft Back Pocket', 'Additional Info': 'The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support. Back hidden anti theft pocket can hold your wallet, phone etc.'}, {'Product': 'Multi-Level Organizer', 'Additional Info': 'The backpack has a front zipper pocket for the ID card, Sanitizer,masks, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band'}, {'Product': 'Laptop sleeve special', 'Additional Info': 'In this backpack special padded laptop sleeve this is product your laptop and tab etc.'}, {'Product': 'Premium Material', 'Additional Info': 'This multifunctional bag is made of high quality Water Repellent polyester material. For the inner lining, soft feel premium quality polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, of premium quality and durable.'}, {'Product': 'Only usb port not power bank', 'Additional Info': 'A USB charging connector is available on the laptop backpack, but we have not pervoide power bank in this backpack. please take care this instruction.'}]"
,Aztec35_MT,,[]
,NEXA,,"Decent BACKPACK: The Tabelito Backpack / Daypack is made of HIGH QUALITY Anti Scratch Fabric with a sturdy zipper design, making it incredibly sturdy, tear-resistant, and capable of protecting your items from dust, rain, and filth. Even more robust and long-lasting are the strong buckle and zipper. LARGE CAPACITY & MULTI COMPARTMENTS & LIGHT WEIGHT: The backpack has three compartments. There is ample storage for clothes, books, a lunchbox, daily needs, and tech equipment accessories in the separate laptop compartment that fits a 15.6-inch laptop as well as a 15-inch, 14-inch, and 13-inch or Mac book. The middle compartment has enough capacity for a laptop charger, an iPad, a tablet, a smartphone, a document file, and other necessary accessories. There are two small elastic mesh side pockets for water bottles and a front compartment with zipper pockets for easy access items like a mask, wallet, metro card, and wallet. Make your goods more accessible and organised. HIGH QUALITY MATERIAL: The metal zippers on our backpack are made of high-quality, water-resistant Polyester fabric. Lightweight and strong build guarantee daily use that is safe and durable. Perfect for shopping, office work, business travel, weekend trips, and other outdoor activities. It is also the ideal backpack for teens, boys, girls, adults, and other genders."
"['Care Instructions: Hand Wash Only', '1)Super spacious - 40 litre space 2)3 Spacious Compartments 3)Quick access front pocket 4)Organizer 5) Premium and Durable Fabric 6)Rain Cover 7) Coin Pocket 8)Padded Grab Handle']",BPHISPAEWIN,,"Stylish, affordable and spacious compartmentS. Super spacious - 40 litre space 3 Spacious Compartments Quick access front pocket Organizer Premium and Durable Fabric Rain Cover Coin Pocket Padded Grab Handle"
"['WALKENT Ritzy Laptop Bag elevates your professional look - the perfect blend of style and function', 'Ritzy Laptop Bag is designed with a water-resistant and scratch-resistant outer layer and high-quality PU/faux leather, this bag offers maximum protection for your laptop and other essentials', 'With multiple compartments, cushioned laptop compartment, side bottle pockets, and anti-theft pockets, you can stay organized and secure on the go', 'Enjoy ultimate comfort with the cushioned and padded shoulder straps and back, as well as the durable leather handle', 'Ideal for 15.6 inch laptops and 10.2 inch tablets, the Walkent Ritzy laptop bag is the ultimate accessory for professionals and students alike who demand style and functionality in their everyday lives']",B09Q172X7J,"Walkent, Walkentstore@gmail.com, Contact: +91 8001655655",[]
,FFHACWALLCYCLELUGGAGEBAG-BLACK,,[]
"['[Shockproof Laptop Compartment & Waterproof Front Pocket] Arctic Hunter for those who have business travel office needs of the backpack brand, EVA material square shockproof cotton ball laptop compartment, no matter what kind of environment, you can have to believe that it is able to protect your upto 15.6-inch laptop. there is a waterproof material lining the front pocket, business travel, wet and dry separation is particularly important.Easily categorize wet and dry items', '[6 Pockets for Your Traveling Needs]-- The main pocket holds a 15.6-inch laptop compartment. The front top pocket is an organizer for stationery and a 10.9-inch iPad.The front bottom pocket is a quick-access pocket for frequently used items. There is also a waterproof front pocket for toiletries. Perfect for traveling! 2 side pockets for an umbrella and 700ml water bottle are also essential!', '[Spacious & Comfortable Backpack]--(H-47cm*L-35cm*W-17cm/28L) Large Capacity, Ergonomic breathable honeycomb back pad and breathable comfortable adjustable shoulder straps, thickened and framed soft carry handles and chest with stabilizing backpack reduce your stress while traveling. The trolley fixing strap on the back can free your hands. Traveling is easier!', '[Earphone & USB Charging Design]-- External USB charging port with built-in charging cable. External headphone threading hole, enjoy music on the go. Let you free your hands while traveling. Note: The power bank requires you to prepare your own as well as an external USB charging cable.', '[Premium Material] - Polyester fabric, long-lasting use, no fear of wear and tear. Hiking grade polyester lining to take care of each of your items.EVA shockproof cotton ball to protect your electronic products. Front waterproof Pocket and PU material covered waterproof zipper lip, very convenient for unisex people for business, travel and outdoor use. Hidden durable metal zipper.']",B07TW713SC,"ah arctic hunter, Hoteon Trading Pvt. Ltd., #191, BOOHBCS (BANK COLONY),BTM 2nd Stage, Bangalore-560068. Phone 9148183707 or customercare@hoteon.com",[]
,CAMELLIA17SBPIN,,"Give your everyday routine a fresh update with Genie Camellia backpack. With all-over floral print, this backpack will be the style statement as you head off to class and your classmates stare in awe. It is spacious enough to carry all your supplies whilst looking cute."
,FLASH19CBBLU,,[]
,Laptop Bag,,[]
,BP012,,"[{'Product': 'SIDE POCKET', 'Additional Info': 'Pockets at side for water bottle and compact umbrella make your items organized and easier to find. Every single detail in our backpack is made from the best quality materials.'}, {'Product': 'HIGH QUALITY POLYESTER', 'Additional Info': 'The business computer backpack made from high quality polyester fabric shockproof with high density nylon lining for better TEAR & WATER RESISTANT and heavy duty backpack.'}, {'Product': 'WATER RESISTANT', 'Additional Info': 'Made of high quality water resistant lightweight Polyester which protects your laptop and other essentials.'}, {'Product': 'LUGGAGE STRAP', 'Additional Info': 'A luggage strap allows backpack fit on luggage/suitcase, slide over the luggage upright handle tube for easier carrying. Well made for international airplane travel and day trip as a travel gift for men.'}, {'Product': 'PADDED MESH', 'Additional Info': 'With a comfortable padded mesh back design and thick and soft multi-panel ventilated pads, the big backpack gives you great back support.'}, {'Product': 'REINFORCED BOTTOM STAND', 'Additional Info': 'Reinforced with rubber foot stand / pedal pad. For dispersing the weight of bag while being placed, it provide extra anti-slip function.'}]"
"['Fit Type: regular', 'STORAGE CAPACITY : The backpack for men has 3 large compartments, 1 front zip pocket and daily essentials. 1 Side Bottle Holder, 1 Internal Organiser to store pens, keys, money etc. This casual bag/laptop bag can also accommodate files and a 15.6 inch laptop/MacBook or a tablet easily. In deed a perfect all-rounder backpack for men, school bags for boys and girls, college bags for men and college bag for girls, office bag for men and women. One Bag multiple uses. Great Value !!', 'FEATURES & WARRANTY : Strap Type: Adjustable; Closure Type: Zipper; Color Name: NavyBlue-Teal; Pattern Name: Solid; Compartment Description: Not Laptop Compatible; Special Features: Zip Closure; Capacity: 35 liters; Number of Compartments: 3 Compartments; Water Resistance Level: Water Resistant; Age Range Description: Kid; Style Name: Traditional Backpacks; Pocket Description: Utility Pocket; Warranty Description: This laptop bag for men has 1 Year Warranty for any manufacturing defects.', 'DIMENSIONS :19(H) x 12.5(W) x 8.5(B) inches. This school bags for boys has heavy duty zippers and it perfectly serves the purpose of a school bag, college bag, office bag with plenty of space on the inside.', 'MATERIAL : This college bags for men is made from Imported 420D. It is lightweight polyester fabric. These college bag for women has tested strength of 140 Kgs. It also has 900D super strong base with foam padding for protection.', 'THE ULTIMATE BACKPACK FOR MEN : This laptop bag has adjustable shoulders, padded handle, quick haul loop, 3D air flow panel preventing sweat. This 35L school bags for boys/college bag for girls can accommodate a water bottle on one side pocket or also an umbrella.']",Comet,,[]
,,,[]
"['Care Instructions: Hand Wash Only', 'Fit Type: regular', 'Style Name:-Backpack', 'Model Name:-Duffle Bag IND II', 'Brand Color:-High Risk Red-Peacoat', 'Dimensions:-47 x 28 x 28 cm', 'Material:-Polyester']",7837801,,[]
"['Fit Type: regular', 'Large multi-compartment backpack with a padded sleeve for laptops, can hold up to 17 inch laptop/notebook', 'Front storage pocket keeps smaller items neatly organized and easy to access', 'Mesh pockets on both sides to accommodate your water bottle and umbrella', 'Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects', 'Age Range Description: Adult; Lining Description: Polyester; Closure Type: Zipper; Special Features: Lightweight']",SNAP19CBBLK,,"Safari Snap is a 35 Litres, 3 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as office, college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips."
"['Durable Material & Solid: Made of Water-repellent & Durable Polyester Fabric material gives the backpack a premium, business look. This laptop backpack give you a secure & long-lasting usage everyday. This laptop backpack is very useful for men and women, office goers and also useful for college, high school students for boys, girls, teens, adults.', 'Multi Compartments: This laptop backpack has multiple functional compartments to store 15.6 inch Laptop and also the backpack can hold 15inch, 14inch and 13 inch laptop. This backpack has multiple compartments and pockets to store all your daily necessities and al other accessories.', 'USB Charging Features: An USB port outside the backpack is provided to connect your charging cable to charge your Smartphone / Tablet on the move, while the other end can be connected to a power-bank kept safely inside one of the pouch inside the bag. Please noted that there is no power source provided with this bag. The usb charging port only offers an easy access to charge', 'Sturdy & Comfortable: This backpack has a comfortable airflow back design with thick but soft multi-panel ventilated padding in the back, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle allows you to carry the bag for long time.', 'Additional Safety Features: A luggage strap allows backpack fit on luggage/suitcase, slide over the luggage upright handle tube for easier carrying. With a hidden anti theft pocket on the back protect your valuable items from thieves. Well made for international airplane travel and day trip as a travel gift for men']",B00121C,,"[{'Product': 'LONG-LASTING DESIGN', 'Additional Info': 'This laptop backpack is made with a waterproof and durable polyester fabric that gives it a premium appeal. It is suitable for everyday usage and is ideal for both men and women.'}, {'Product': 'MULTIPLE COMPARTMENTS', 'Additional Info': 'Highly functional, it has several separate compartments to store all your daily essentials in a safe and accessible manner. It ensures security for your stuff and is lightweight as well.'}, {'Product': 'IN-BUILT USB PORT', 'Additional Info': 'This backpack has ventilated padding in the back making it extremely comfortable to carry. It also has a USB port that allows easy access to charge your devices on the go.'}]"
,B07D1R1K84,,"[{'Product': 'Pads that breathe', 'Additional Info': 'Cosmus bags provides a strong and comfortably padded shoulder straps makes the bag feel lighter & more breathable. While giving comfortable support to your back and shoulder.'}, {'Product': 'How big? A l...ot more than you think', 'Additional Info': 'Cosmus bags understands your needs, that’s why we have 2 Large Compartments + 2 Easy access front Pocket with organizer section & 2 mesh side pocket'}, {'Product': 'Big or small, we have space for all your needs', 'Additional Info': 'The Cosmus Bags deeply looks into all your needs , outer mesh pockets for water bottle , umbrella etc . A bag pack for all men & women.'}, {'Product': 'Strong from Inside Tough from outside', 'Additional Info': 'Cosmus crafts bag inspired from you, hence the bags are made with premium quality providing you maximum strength. Without compromising on your comfort, while the inner Fabric has strong PU coating for durability and to keep it light weighted inside.'}, {'Product': 'When protection is priority', 'Additional Info': 'The Cosmus bags have kept the safety a head always, so Well cushioned laptop compartment for up to 15.6 inch laptop.'}, {'Product': 'Long & Strong Strap', 'Additional Info': 'The Cosmus bags uses premium quality material and special engineered Straps, that are adjustable in nature for optimum comfort.'}]"
,India,,[]
